id,title,r_bubbles,r_number,cook_type,expensive
0,1. Mabuhay Restaurant,"Punteggio 5,0 su 5",842 recensioni,Filippina,€
1,2. Parea Bistrot,"Punteggio 5,0 su 5",158 recensioni,?,?
2,3. Il Panino,"Punteggio 5,0 su 5",226 recensioni,"Italiana, Cibo di strada",€
3,4. Cantiere Hambirreria,"Punteggio 5,0 su 5",923 recensioni,"Italiana, Americana",?
4,5. BLUE M Milano - Bottega Marchigiana,"Punteggio 5,0 su 5",158 recensioni,Italiana,€
5,6. Shabby Grill Restaurant,"Punteggio 5,0 su 5",434 recensioni,"Italiana, Steakhouse",€€ - €€€
6,7. Osteria Da Fortunata - Moscova Milano,"Punteggio 5,0 su 5",177 recensioni,"Romana, Laziale",?
7,8. Pizzium - Via Anfossi,"Punteggio 4,5 su 5",1.690 recensioni,"Italiana, Pizza",€€ - €€€
8,9. Marea Seafood & Beverage,"Punteggio 5,0 su 5",308 recensioni,"Italiana, Pesce",?
9,10. PitBeef Milano,"Punteggio 5,0 su 5",138 recensioni,"Barbecue, Steakhouse",€€ - €€€
10,11. Kebabbar Star Zagros,"Punteggio 5,0 su 5",416 recensioni,"Mediorientale, Turca",€
11,12. Cesarino,"Punteggio 5,0 su 5",197 recensioni,"Italiana, Fast food",€
12,13. Yokohama Flavour Journey Cuisine,"Punteggio 4,5 su 5",2.552 recensioni,"Pesce, Sushi",€€ - €€€
13,14. Nàpiz',"Punteggio 4,5 su 5",1.255 recensioni,"Pizza, Mediterranea",€€ - €€€
14,15. Bottega Sicula Pescheria,"Punteggio 4,5 su 5",1.582 recensioni,"Mediterranea, Italiana",€€ - €€€
15,16. Tram,"Punteggio 5,0 su 5",359 recensioni,"Italiana, Cibo di strada",€
16,17. Sapori Solari - Cocktail Bistrot,"Punteggio 4,5 su 5",523 recensioni,"Italiana, Pesce",€€ - €€€
17,18. Incontro Restaurant&drink,"Punteggio 5,0 su 5",113 recensioni,"Italiana, Pesce",?
18,19. Pizzium - Via Vigevano,"Punteggio 4,5 su 5",1.450 recensioni,"Italiana, Pizza",€€ - €€€
19,20. Levino Milano,"Punteggio 4,5 su 5",175 recensioni,"Italiana, Pesce",€€€€
20,21. Ristorante Pizzeria O Surdato 'Nnamurato,"Punteggio 4,5 su 5",747 recensioni,"Italiana, Pizza",€
21,22. Piadineria Artigianale Pascoli,"Punteggio 4,5 su 5",928 recensioni,"Italiana, Fast food",€
